val_loss,val_acc,epoch,step,train_loss,trai_acc
0.49975717067718506,0.800000011920929,0,489,,
,,0,489,0.5253389477729797,0.800000011920929
0.4863852858543396,0.800000011920929,1,979,,
,,1,979,0.49289655685424805,0.800000011920929
0.481452614068985,0.800000011920929,2,1469,,
,,2,1469,0.4830586314201355,0.8000243902206421
0.47974878549575806,0.800000011920929,3,1959,,
,,3,1959,0.48044776916503906,0.8003510236740112
0.47580718994140625,0.8018573522567749,4,2449,,
,,4,2449,0.47825875878334045,0.8010814785957336
0.4724271893501282,0.8019430637359619,5,2939,,
,,5,2939,0.47341686487197876,0.8020039200782776
0.4711354970932007,0.8014765381813049,6,3429,,
,,6,3429,0.47033849358558655,0.8019096255302429
0.4661683738231659,0.8019812107086182,7,3919,,
,,7,3919,0.4684191644191742,0.8020238876342773
0.4638203978538513,0.8020098805427551,8,4409,,
,,8,4409,0.4667472243309021,0.802411675453186
0.4615064561367035,0.8024097084999084,9,4899,,
,,9,4899,0.4633064270019531,0.80255126953125
0.460350900888443,0.8029808402061462,10,5389,,
,,10,5389,0.4622415602207184,0.8025344610214233
0.45907166600227356,0.8025047183036804,11,5879,,
,,11,5879,0.46076637506484985,0.8030571341514587
0.45612165331840515,0.8042095303535461,12,6369,,
,,12,6369,0.45609381794929504,0.8045349717140198
0.45079198479652405,0.8057141900062561,13,6859,,
,,13,6859,0.4537563920021057,0.8047387003898621
0.4448627233505249,0.8062378168106079,14,7349,,
,,14,7349,0.4479009807109833,0.806212842464447
0.4384421110153198,0.8067238926887512,15,7839,,
,,15,7839,0.44209158420562744,0.8070329427719116
0.433990478515625,0.8090664148330688,16,8329,,
,,16,8329,0.4390963912010193,0.8079345226287842
0.42864304780960083,0.8099619746208191,17,8819,,
,,17,8819,0.4328954219818115,0.8088855147361755
0.4272834360599518,0.8097142577171326,18,9309,,
,,18,9309,0.42886751890182495,0.809673011302948
0.4236725866794586,0.8112097382545471,19,9799,,
,,19,9799,0.4261505603790283,0.8107221722602844
0.42385178804397583,0.8111141324043274,20,10289,,
,,20,10289,0.42483267188072205,0.8115307688713074
0.4202214479446411,0.8128284215927124,21,10779,,
,,21,10779,0.42261168360710144,0.8120408058166504
0.4179956614971161,0.8124284744262695,22,11269,,
,,22,11269,0.4207097887992859,0.8129915595054626
0.4176328182220459,0.8147621154785156,23,11759,,
,,23,11759,0.4208798110485077,0.8136123418807983
0.4155716598033905,0.8133711218833923,24,12249,,
,,24,12249,0.41783252358436584,0.8148976564407349
0.4155683219432831,0.813904881477356,25,12739,,
,,25,12739,0.4170932173728943,0.8155100345611572
0.41436317563056946,0.8167141079902649,26,13229,,
,,26,13229,0.41555288434028625,0.8161303400993347
0.41436928510665894,0.8171522617340088,27,13719,,
,,27,13719,0.41407978534698486,0.816967248916626
0.4110153019428253,0.8160382509231567,28,14209,,
,,28,14209,0.41237181425094604,0.8174411058425903
0.4115736484527588,0.8165715336799622,29,14699,,
,,29,14699,0.41096392273902893,0.8175836205482483
0.4073079526424408,0.8171806931495667,30,15189,,
,,30,15189,0.4099190831184387,0.8178653717041016
0.40651196241378784,0.8179712891578674,31,15679,,
,,31,15679,0.40904995799064636,0.8182693123817444
0.41260385513305664,0.8158382773399353,32,16169,,
,,32,16169,0.4075707793235779,0.8185263872146606
0.40507304668426514,0.8190000057220459,33,16659,,
,,33,16659,0.405452698469162,0.819101870059967
0.4048369228839874,0.8196189403533936,34,17149,,
,,34,17149,0.40447261929512024,0.8196772933006287
